district,min_similarity,max_similarity,similarity_range,most_similar
AL-01,0.02026928392604876,0.07811085771426833,0.057841573788219566,SC-05,NC-06,TX-01,AL-02,IN-01,GA-10,GA-03,AL-03,MS-01,OH-09,TX-13,MS-04,SC-07,NC-07,MO-05,MS-03,TX-36,FL-15,NC-13,FL-03,TX-04,NJ-02
AL-02,0.030341058740025954,0.0873183191254861,0.056977260385460145,TX-01,SC-05,AL-01,GA-10,IN-01,TX-13,GA-08,MS-01,SC-07,TX-36,AL-03,NC-06,MS-03,LA-04,FL-15,OK-02,OH-09,GA-03,TX-11,MS-04,GA-12,NJ-02
AL-03,0.012196743651905964,0.08373691976672322,0.07154017611481725,MS-01,SC-05,OH-09,AL-01,GA-10,MS-04,TX-04,AL-02,NC-06,TX-13,TX-01,SC-03,SC-07,GA-03,OK-03,IN-01,OK-02,NC-05,TX-36,IL-17,LA-03,MI-05
AL-04,0.041584795427375365,0.08980893615356103,0.048224140726185666,KY-01,PA-17,OH-04,OH-13,TN-06,TN-03,KY-02,VA-09,PA-11,IN-02,WV-02,MO-08,GA-09,GA-14,AR-01,TN-04,TN-01,OH-07,PA-10,PA-03,PA-05,IN-06
AL-05,0.03920344598857933,0.07621812130221473,0.03701467531363539,MA-01,OH-10,FL-01,LA-01,SC-04,CO-03,IL-12,OH-01,KS-04,RI-01,AR-02,TN-08,FL-03,NV-02,NC-03,KY-03,OK-04,NY-26,PA-14,KS-01,IL-13,NC-07
AL-06,0.023782140921771448,0.0787153905827271,0.054933249660955655,OR-05,NY-20,MA-02,WA-03,FL-01,MI-03,WA-06,MI-12,OH-10,CO-04,RI-02,KS-04,WA-02,WI-01,IA-03,FL-04,CA-01,WY-00,NY-25,CO-03,NE-01,NJ-04
AL-07,0.019470915814389676,0.15100472180446267,0.131533805990073,MS-02,SC-06,LA-02,MI-13,NM-02,AZ-03,GA-02,FL-05,TX-35,TN-09,TX-23,TX-27,NC-01,CA-36,CA-09,OH-11,FL-20,FL-09,IL-02,NV-01,CA-41,CA-10
AK-00,0.06556557744688277,0.11120697819121682,0.04564140074433405,TX-12,MD-06,VA-02,TX-10,CO-07,CA-50,TX-31,CA-24,GA-11,WA-10,IL-10,TX-25,NC-02,NV-03,VA-07,VA-01,CT-01,IL-11,MD-03,TN-05,NY-18,MA-03
AZ-01,0.03292288797678115,0.113511678411602,0.08058879043482084,VA-04,CA-03,TX-14,FL-14,NV-04,MD-02,CA-23,VA-03,TX-17,OK-05,TX-06,CA-08,OH-03,FL-09,GA-01,IL-08,NC-01,CA-22,FL-10,FL-15,NM-01,NM-03
AZ-02,0.07078751979392195,0.12483527844586689,0.054047758651944944,FL-07,NV-03,VA-02,CA-28,AZ-08,TX-21,SC-01,FL-22,NC-02,NY-25,GA-11,CA-07,SC-02,WA-10,TX-25,MN-04,OR-03,CO-01,NC-09,TX-31,WA-02,IL-10
AZ-03,0.02864446700989371,0.14865876833114772,0.12001430132125401,TX-35,TX-23,LA-02,CA-41,MS-02,AL-07,SC-06,CA-16,TN-09,FL-20,MI-13,TX-18,TX-28,TX-30,TX-15,NM-02,TX-20,CA-31,GA-02,CA-09,NV-01,FL-05
AZ-04,0.01250797266517217,0.11518379150100634,0.10267581883583417,FL-06,FL-12,VA-05,FL-08,NC-10,FL-16,FL-19,MI-05,FL-13,FL-02,MA-01,NC-05,TN-08,OR-02,FL-18,IL-12,NC-07,PA-15,IL-17,VA-06,FL-17,AL-05
AZ-05,0.04124433197399953,0.09988870337817532,0.05864437140417579,OR-01,MN-04,SC-01,KS-03,OR-03,WA-02,CO-05,FL-04,NE-02,MA-08,AZ-06,GA-11,CO-04,MA-05,TX-25,WA-08,AZ-08,CA-02,WA-01,TX-26,CO-06,VA-02
AZ-06,0.04457222153974516,0.12186007819953676,0.0772878566597916,CA-02,CA-04,OR-01,KS-03,AZ-05,SC-01,OR-03,FL-04,MI-11,CO-05,WA-01,MA-05,WA-02,MN-04,MI-08,MN-03,AZ-08,TX-21,MA-08,WA-06,IN-05,NE-02
AZ-07,0.06735341163750767,0.18325313597586534,0.11589972433835767,CA-16,TX-34,TX-28,TX-15,CA-29,CA-51,CA-35,CA-21,TX-35,TX-18,CA-46,AZ-03,CA-41,TX-30,TX-33,FL-24,NV-01,TX-23,TX-29,CA-44,IL-04,FL-20
AZ-08,0.05032435579420447,0.09173525338098919,0.04141089758678472,NY-25,WA-02,VA-07,NC-02,SC-01,TX-25,CO-04,OR-05,SC-02,GA-11,FL-04,WA-10,WA-06,CO-03,NY-20,WA-08,AL-06,AZ-05,CA-02,OR-03,FL-01,NV-02
AZ-09,0.035275511651960204,0.1336152591563954,0.09833974750443521,CO-01,FL-07,MN-05,CA-28,TX-31,TX-32,CA-07,VA-02,CA-24,TX-24,NV-03,IL-10,TX-10,CO-06,TX-02,WA-09,IL-11,CA-30,TN-05,GA-07,MN-04,TX-06
