district,rating,variance,most_similar_ratings
AL-01,Solid-R,4.87603305785124,Solid-R,Solid-R,Solid-R,Solid-R,Solid-D,Solid-R,Solid-R,Solid-R,Solid-R,Solid-D,Solid-R,Solid-R,Solid-R,Solid-R,Solid-D,Solid-R,Solid-R,Likely-R,Lean-R,Solid-R,Solid-R,Likely-D
AL-02,Solid-R,3.7851239669421486,Solid-R,Solid-R,Solid-R,Solid-R,Solid-D,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Likely-R,Solid-R,Solid-D,Solid-R,Solid-R,Solid-R,Solid-R,Likely-D
AL-03,Solid-R,4.545454545454546,Solid-R,Solid-R,Solid-D,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-D,Solid-R,Solid-R,Solid-R,Likely-D,Solid-R,Likely-D
AL-04,Solid-R,4.81198347107438,Solid-R,Likely-D,Solid-R,Solid-D,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Likely-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Likely-R,Lean-R,Solid-D,Solid-D,Solid-R
AL-05,Solid-R,4.958677685950413,Solid-D,Likely-R,Solid-R,Solid-R,Solid-R,Likely-R,Lean-R,Toss-Up,Likely-R,Solid-D,Lean-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-D,Solid-R,Solid-D,Solid-R,Solid-R,Lean-R,Solid-R
AL-06,Solid-R,6.853305785123967,Solid-D,Solid-D,Solid-D,Lean-R,Solid-R,Solid-R,Solid-D,Solid-D,Likely-R,Solid-R,Solid-D,Likely-R,Solid-D,Lean-R,Toss-Up,Solid-R,Solid-R,Solid-R,Solid-D,Likely-R,Solid-R,Likely-R
AL-07,Solid-D,2.9028925619834713,Solid-D,Solid-D,Solid-D,Solid-D,Lean-R,Solid-D,Solid-D,Solid-D,Solid-D,Solid-D,Lean-R,Solid-R,Solid-D,Solid-D,Solid-D,Solid-D,Solid-D,Solid-D,Solid-D,Solid-D,Solid-D,Toss-Up
AK-00,Likely-R,5.867768595041323,Solid-R,Likely-D,Toss-Up,Solid-R,Solid-D,Lean-R,Likely-R,Likely-D,Solid-R,Solid-D,Solid-D,Solid-R,Toss-Up,Likely-D,Toss-Up,Solid-R,Solid-D,Solid-D,Solid-D,Solid-D,Likely-D,Solid-D
AZ-01,Lean-D,7.322314049586777,Solid-D,Solid-D,Solid-R,Solid-D,Lean-D,Solid-D,Solid-R,Solid-D,Solid-R,Likely-R,Likely-R,Solid-R,Solid-D,Solid-D,Solid-R,Solid-D,Solid-D,Likely-R,Solid-D,Likely-R,Solid-D,Solid-D
AZ-02,Toss-Up,5.56198347107438,Likely-D,Likely-D,Toss-Up,Solid-D,Likely-R,Likely-R,Likely-R,Solid-D,Toss-Up,Solid-D,Solid-R,Lean-D,Solid-R,Solid-D,Solid-R,Solid-D,Solid-D,Solid-D,Lean-D,Likely-R,Solid-D,Solid-D
