district,rating,variance,most_similar_ratings
AL-01,Solid-R,3.084710743801653,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-D,Solid-R,Solid-R,Solid-R,Solid-R,Lean-R,Solid-R,Lean-R,Likely-R,Solid-R,Solid-D,Solid-R,Solid-R
AL-02,Solid-R,4.2727272727272725,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-D,Solid-R,Solid-R,Solid-D,Solid-R,Solid-D,Lean-R,Lean-R,Solid-R
AL-03,Solid-R,4.87603305785124,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Likely-R,Solid-R,Solid-D,Solid-D,Solid-R,Solid-R,Lean-R,Likely-D,Solid-D,Solid-R
AL-04,Solid-R,4.81198347107438,Solid-R,Likely-D,Solid-R,Solid-R,Solid-R,Solid-R,Likely-R,Solid-R,Solid-D,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Likely-R,Solid-R,Solid-D,Lean-R,Solid-R,Solid-D,Solid-R
AL-05,Solid-R,4.595041322314049,Likely-R,Lean-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Toss-Up,Lean-R,Solid-D,Solid-D,Solid-R,Solid-R,Likely-D,Likely-R,Solid-R,Solid-R,Lean-R,Solid-R,Lean-R,Solid-D
AL-06,Solid-R,4.390495867768595,Solid-R,Likely-R,Solid-R,Solid-D,Solid-D,Solid-R,Solid-D,Solid-D,Lean-R,Likely-R,Solid-R,Toss-Up,Likely-R,Likely-R,Likely-R,Toss-Up,Lean-R,Solid-R,Toss-Up,Lean-R,Toss-Up,Solid-R
AL-07,Solid-D,0,Solid-D,Solid-D,Solid-D,Solid-D,Solid-D,Solid-D,Solid-D,Solid-D,Solid-D,Solid-D,Solid-D,Solid-D,Solid-D,Solid-D,Solid-D,Solid-D,Solid-D,Solid-D,Solid-D,Solid-D,Solid-D,Solid-D
AK-00,Likely-R,6.785123966942149,Solid-D,Lean-D,Solid-R,Solid-D,Solid-R,Likely-D,Solid-D,Likely-R,Toss-Up,Solid-D,Solid-D,Solid-R,Solid-R,Lean-R,Likely-D,Solid-R,Solid-D,Solid-D,Solid-R,Lean-R,Solid-R,Solid-D
AZ-01,Lean-D,6.49793388429752,Solid-R,Solid-R,Likely-R,Solid-D,Lean-R,Solid-R,Solid-R,Solid-D,Solid-R,Lean-D,Likely-R,Solid-R,Solid-D,Solid-R,Likely-D,Solid-R,Solid-D,Solid-D,Solid-R,Solid-R,Solid-R,Solid-R
AZ-02,Toss-Up,6.357438016528926,Likely-D,Likely-R,Likely-R,Solid-D,Solid-R,Likely-D,Solid-D,Likely-D,Solid-R,Likely-R,Solid-D,Solid-R,Solid-D,Likely-R,Solid-R,Lean-R,Solid-R,Solid-R,Likely-R,Toss-Up,Solid-D,Solid-D
AZ-03,Solid-D,3.809917355371901,Solid-D,Lean-R,Solid-D,Lean-R,Solid-D,Solid-D,Solid-D,Solid-R,Solid-D,Likely-R,Lean-R,Likely-D,Solid-D,Solid-D,Solid-D,Solid-D,Solid-D,Solid-D,Solid-D,Solid-D,Solid-D,Solid-D
AZ-04,Solid-R,3.743801652892562,Solid-R,Likely-R,Solid-D,Solid-R,Likely-R,Lean-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Toss-Up,Solid-R,Likely-R,Solid-R,Solid-R,Solid-D,Likely-D,Likely-R,Solid-R,Lean-R,Solid-R
AZ-05,Solid-R,5.7541322314049586,Solid-D,Likely-R,Toss-Up,Solid-D,Solid-R,Solid-D,Likely-R,Solid-R,Solid-R,Solid-R,Solid-D,Lean-R,Likely-R,Solid-D,Solid-R,Toss-Up,Lean-D,Lean-R,Likely-R,Solid-D,Solid-D,Toss-Up
AZ-06,Likely-R,5.489669421487603,Solid-D,Likely-R,Solid-R,Solid-D,Toss-Up,Solid-D,Solid-R,Solid-R,Likely-R,Toss-Up,Solid-D,Likely-R,Solid-D,Lean-R,Toss-Up,Toss-Up,Solid-R,Solid-R,Lean-R,Lean-D,Solid-D,Solid-R
AZ-07,Solid-D,2.6942148760330578,Solid-D,Solid-D,Lean-R,Likely-D,Solid-D,Solid-D,Solid-D,Solid-D,Solid-D,Solid-D,Solid-D,Solid-D,Solid-D,Lean-R,Solid-D,Solid-D,Likely-R,Solid-D,Solid-D,Lean-R,Solid-D,Solid-D
AZ-08,Likely-R,7.421487603305786,Solid-R,Solid-D,Solid-R,Solid-R,Solid-D,Solid-R,Solid-D,Likely-D,Likely-R,Solid-R,Solid-D,Toss-Up,Likely-D,Solid-R,Solid-R,Solid-D,Solid-D,Likely-R,Solid-D,Solid-D,Likely-R,Solid-D
AZ-09,Likely-D,5.702479338842975,Solid-D,Likely-D,Likely-R,Likely-D,Solid-R,Toss-Up,Toss-Up,Toss-Up,Likely-R,Lean-R,Solid-D,Solid-R,Likely-R,Solid-D,Solid-R,Solid-D,Solid-D,Solid-D,Lean-D,Solid-R,Solid-D,Solid-D
AR-01,Solid-R,5.035123966942149,Solid-R,Solid-R,Solid-R,Solid-D,Solid-R,Solid-R,Solid-R,Likely-D,Solid-R,Solid-R,Likely-R,Solid-R,Solid-R,Solid-R,Solid-D,Likely-D,Solid-R,Likely-D,Solid-R,Likely-R,Solid-R,Solid-R
AR-02,Lean-R,5.332644628099174,Solid-R,Solid-R,Solid-D,Toss-Up,Lean-R,Solid-R,Solid-R,Solid-D,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-D,Solid-R,Lean-R,Solid-R,Solid-D,Solid-R
AR-03,Solid-R,4.925619834710744,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Likely-R,Solid-R,Solid-R,Solid-D,Likely-D,Solid-R,Toss-Up,Solid-R,Likely-R,Solid-R,Solid-R,Solid-D,Solid-R,Solid-D
AR-04,Solid-R,4.49793388429752,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-D,Solid-D,Likely-D,Solid-R,Solid-R,Likely-D,Solid-R,Solid-R,Likely-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R
CA-01,Solid-R,4.87603305785124,Solid-D,Solid-D,Solid-D,Lean-R,Likely-R,Solid-D,Solid-R,Likely-R,Lean-R,Lean-R,Likely-R,Solid-R,Likely-R,Likely-R,Solid-R,Solid-D,Toss-Up,Likely-R,Solid-R,Solid-R,Likely-R,Lean-R
CA-02,Solid-D,6.084710743801653,Likely-R,Likely-R,Solid-R,Likely-R,Solid-D,Solid-D,Solid-R,Solid-R,Solid-D,Toss-Up,Solid-R,Solid-D,Likely-R,Solid-D,Solid-R,Lean-R,Toss-Up,Toss-Up,Solid-D,Lean-D,Solid-D,Solid-R
CA-03,Solid-D,5.7623966942148765,Solid-D,Solid-R,Solid-D,Solid-D,Lean-D,Solid-R,Lean-R,Likely-R,Lean-D,Solid-D,Likely-D,Solid-R,Solid-R,Solid-D,Toss-Up,Likely-D,Likely-R,Solid-D,Solid-D,Solid-D,Solid-D,Lean-R
