district,rating,variance,most_similar_ratings
AK-00,Likely-R,1.2086776859504131,Lean-R,Lean-R,Likely-R,Toss-Up,Likely-R,Likely-R,Likely-R,Solid-R,Solid-R,Lean-R,Solid-R,Toss-Up,Likely-R,Solid-R,Solid-R,Toss-Up,Likely-R,Likely-R,Solid-R,Solid-R,Toss-Up,Solid-R
AL-01,Solid-R,0.11776859504132231,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Likely-R,Likely-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Likely-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R
AL-02,Solid-R,0.24173553719008264,Likely-R,Solid-R,Solid-R,Solid-R,Solid-R,Likely-R,Solid-R,Solid-R,Solid-R,Solid-R,Likely-R,Likely-R,Likely-R,Solid-R,Solid-R,Solid-R,Likely-R,Likely-R,Solid-R,Likely-R,Solid-R,Likely-R
AL-03,Solid-R,0.04338842975206612,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Likely-R,Solid-R,Solid-R,Solid-R,Solid-R
AL-04,Solid-R,0,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R
AL-05,Solid-R,0,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R
AL-06,Solid-R,0,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R
AL-07,Solid-D,0,Solid-D,Solid-D,Solid-D,Solid-D,Solid-D,Solid-D,Solid-D,Solid-D,Solid-D,Solid-D,Solid-D,Solid-D,Solid-D,Solid-D,Solid-D,Solid-D,Solid-D,Solid-D,Solid-D,Solid-D,Solid-D,Solid-D
AR-01,Solid-R,0.14876033057851237,Solid-R,Solid-R,Solid-R,Likely-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Likely-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Likely-R,Likely-R,Solid-R
AR-02,Lean-R,1.2314049586776858,Solid-R,Likely-R,Toss-Up,Lean-R,Solid-R,Likely-R,Toss-Up,Toss-Up,Lean-R,Toss-Up,Likely-R,Likely-R,Likely-R,Solid-R,Likely-R,Lean-R,Likely-R,Lean-R,Toss-Up,Toss-Up,Toss-Up,Solid-R
AR-03,Solid-R,0,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R
AR-04,Solid-R,0.7768595041322314,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Likely-R,Solid-R,Likely-R,Solid-R,Solid-R,Solid-R,Lean-D,Solid-R,Likely-R,Solid-R,Likely-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R
AZ-01,Lean-D,1.9752066115702478,Likely-D,Lean-R,Lean-D,Lean-R,Likely-D,Solid-D,Lean-D,Likely-D,Likely-D,Lean-D,Solid-D,Toss-Up,Lean-R,Solid-D,Toss-Up,Toss-Up,Likely-D,Solid-D,Solid-D,Lean-D,Solid-D,Solid-D
AZ-02,Toss-Up,0.8119834710743802,Toss-Up,Lean-R,Toss-Up,Toss-Up,Lean-R,Toss-Up,Lean-D,Toss-Up,Lean-R,Lean-R,Toss-Up,Lean-D,Lean-D,Toss-Up,Toss-Up,Lean-R,Lean-R,Lean-D,Likely-R,Toss-Up,Likely-R,Lean-D
AZ-03,Solid-D,0,Solid-D,Solid-D,Solid-D,Solid-D,Solid-D,Solid-D,Solid-D,Solid-D,Solid-D,Solid-D,Solid-D,Solid-D,Solid-D,Solid-D,Solid-D,Solid-D,Solid-D,Solid-D,Solid-D,Solid-D,Solid-D,Solid-D
AZ-04,Solid-R,0,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R,Solid-R
AZ-05,Solid-R,0.30785123966942146,Lean-R,Solid-R,Solid-R,Solid-R,Solid-R,Likely-R,Likely-R,Solid-R,Solid-R,Solid-R,Likely-R,Solid-R,Solid-R,Solid-R,Likely-R,Solid-R,Solid-R,Solid-R,Solid-R,Likely-R,Solid-R,Solid-R
AZ-06,Likely-R,0.5888429752066116,Lean-R,Likely-R,Likely-R,Solid-R,Likely-R,Solid-R,Likely-R,Likely-R,Solid-R,Lean-R,Solid-R,Likely-R,Likely-R,Solid-R,Likely-R,Lean-R,Solid-R,Solid-R,Lean-R,Lean-R,Lean-R,Likely-R
