district,min_similarity,max_similarity,similarity_range,most_similar ⬅
AK-00,0.14812955478229187,0.21652931672177778,0.06839976193948591,WI-06,AR-02,OK-05,MI-08,MT-00,MI-07,CO-03,TX-25,WA-04,WA-05,NC-06,KS-02,TX-06,TX-10,FL-03,NC-02,MI-06,TX-31,CA-01,MI-04,MI-11,NC-05
AL-01,0.02070959922354847,0.3678852946232018,0.3471756953996533,GA-08,GA-10,GA-03,OK-01,TX-05,FL-04,TX-03,AZ-08,CA-23,GA-14,MS-03,OH-08,TX-04,FL-25,IL-18,TX-26,TN-02,TX-19,GA-11,TX-08,SC-04,FL-01
AL-02,0.1534409821397139,0.2690320891640996,0.11559110702438569,IN-09,FL-03,TX-27,FL-17,CA-01,KS-04,TX-25,NC-05,SD-00,NC-11,TX-31,MT-00,OK-05,TX-14,NC-10,AZ-05,IA-04,IN-02,CA-42,TX-06,MI-10,FL-06
AL-03,0.05309825797519167,0.13712317455485046,0.08402491657965878,FL-11,IN-04,TN-03,MO-06,MS-01,OH-04,KY-04,WV-01,NC-03,NC-11,FL-19,SD-00,MD-01,MO-04,MO-03,ID-01,AL-05,KS-04,IN-08,FL-17,IN-06,MI-10
AL-04,0.10553773614210234,0.42546204883632105,0.3199243126942187,GA-14,TX-04,TX-11,TX-08,TX-19,TX-13,KY-05,TN-01,GA-09,NE-03,OK-03,TN-06,TX-36,GA-03,TX-01,AL-06,MO-08,AL-01,FL-04,GA-08,OK-01,IL-15
AL-05,0.11399401300068356,0.16404507002650212,0.050051057025818566,MO-04,MO-03,MS-01,MD-01,AL-03,MO-06,FL-01,IN-04,FL-11,TX-12,KY-04,TN-08,MS-04,OK-04,SC-03,AZ-04,AZ-05,OH-04,MI-10,NC-03,IL-18,IN-06
AL-06,0.05375909225424109,0.2502535014740053,0.19649440921976424,TX-01,KY-01,OK-03,AZ-04,TN-02,TN-07,FL-01,OK-04,SC-03,TN-08,MO-08,OK-02,MS-04,MO-07,TX-12,MO-03,IN-03,TX-36,KY-04,TN-06,WY-00,AL-05
AL-07,0.10022394923370355,0.35774654435787356,0.25752259512417003,GA-13,TX-29,AZ-07,MA-05,OR-03,CA-28,VA-03,HI-02,CA-05,NJ-08,TX-33,TX-30,SC-06,TX-09,GA-04,FL-20,CA-20,NY-16,WI-04,MI-14,OH-11,MI-13
AR-01,0.12967135863404836,0.27812833593505004,0.14845697730100169,VA-09,CO-05,VA-06,OH-07,SC-04,KY-02,AR-04,SC-02,MS-03,TX-17,TX-26,OH-08,GA-11,SC-01,KS-01,GA-01,FL-12,ID-01,IL-16,KS-04,TX-21,TN-03
AR-02,0.09388157433703379,0.14327639372904385,0.04939481939201007,MI-03,MI-06,MI-08,WI-06,NC-06,MI-07,NC-02,KY-06,WA-05,KS-02,OK-05,MT-00,TX-06,SC-07,CA-04,NC-13,CO-03,FL-16,MI-11,NJ-03,VA-02,TX-25
AR-03,0.3356426876158633,0.5087662577254903,0.17312357010962703,TX-19,TX-08,TN-01,FL-04,TX-11,TX-04,TX-13,TN-06,TN-02,TX-36,OK-03,GA-14,GA-03,AL-01,TN-07,TX-01,GA-08,OK-01,GA-09,TN-08,NE-03,OH-08
AR-04,0.20316669264424228,0.316846713727632,0.11368002108338973,AR-01,TX-17,SC-02,CO-05,GA-01,TX-21,VA-06,SC-01,WV-02,CA-08,SC-04,NC-09,AL-02,FL-15,MS-03,OH-07,TX-26,GA-11,VA-09,WA-04,FL-03,KY-02
AZ-01,0.10421031618798594,0.21703618361922974,0.1128258674312438,NH-02,NE-02,NH-01,TX-23,CT-05,OR-05,NV-04,IA-02,NJ-05,CA-07,OR-04,MN-01,MN-08,NY-03,CA-10,MN-02,IL-17,CO-07,CA-36,IA-01,CA-03,WA-01
AZ-02,0.1354327877583564,0.21353690547537676,0.07810411771702036,CO-06,TX-23,CA-10,IA-03,NE-02,NJ-03,IA-01,MI-11,FL-26,IL-13,VA-02,CA-07,VA-10,NJ-07,MI-08,CA-21,NC-13,MN-03,FL-18,MN-02,MI-06,NH-01
AZ-03,0.12001516701025755,0.3066102946942585,0.18659512768400094,VA-11,FL-14,IN-01,CA-32,MA-06,CA-46,NY-17,NJ-01,IL-03,FL-05,CT-01,CA-33,FL-23,TX-28,MD-03,MN-04,MA-04,MD-08,TX-16,MD-02,NJ-12,MS-02
AZ-04,0.058794004796407597,0.1596457641154315,0.1008517593190239,OK-04,FL-01,SC-03,TN-08,TN-07,KY-01,MS-04,MO-03,MO-07,TX-12,KY-04,MO-04,IN-03,TN-02,IN-06,AL-06,AL-05,MS-01,ID-01,TX-01,MO-06,OK-02
AZ-05,0.08060322574190192,0.16897313395921856,0.08836990821731665,CA-50,FL-19,WI-05,NC-03,CO-04,TX-02,KS-04,TX-27,NE-01,FL-08,TX-31,MD-01,AL-03,MI-02,AZ-06,AL-05,FL-11,IN-05,SD-00,NJ-04,IN-04,MO-06
AZ-06,0.06251563804361276,0.12784406517316318,0.06532842712955042,GA-07,TX-31,MO-02,TX-10,TX-22,IN-05,TX-02,TX-06,CA-42,GA-06,TX-25,CA-04,TX-24,VA-01,OK-05,CA-50,FL-03,MI-02,WA-05,NM-02,IL-14,NJ-04
AZ-07,0.12178909536571815,0.2981252762053228,0.17633618083960467,TX-29,MA-05,GA-13,AL-07,NY-16,OR-03,CA-17,CA-28,TX-33,CA-05,TX-30,WI-04,NY-10,NJ-08,NY-14,TX-09,CA-35,GA-04,CA-20,CA-29,MO-01,FL-20
